Location Name;URL;Lounge Price;VO Price
Tokyo Shinjuku Park Tower;http://www.regus.co.jp/locations/office-space/tokyo-shinjuku-park-tower;3300;16900
Tokyo Shiodome Building Hamamatsu cho;http://www.regus.co.jp/locations/office-space/tokyo-shiodome-building;3300;11900
Tokyo Shiodome Building Hamamatsu cho;http://www.regus.co.jp/locations/office-space/tokyo-shiodome-building;3300;7900
Tokyo, Akasaka Business Place (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-akasaka-business-place-open-office;16900
Tokyo, Akasaka Business Place (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-akasaka-business-place-open-office;13900
Tokyo, Akasaka K Tower;http://www.regus.co.jp/locations/office-space/tokyo-akasaka-k-tower;3300;19900
Tokyo, Akasaka Mitsuke (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-akasaka-mitsuke-open-office;16900
Tokyo, Akasaka Mitsuke (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-akasaka-mitsuke-open-office;7900
Tokyo, Akihabara Minami;http://www.regus.co.jp/locations/office-space/tokyo-akihabara-minami;3300;9900
Tokyo, Aoyama Central (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-aoyama-central-open-office;9900
Tokyo, Aoyama Central (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-aoyama-central-open-office;11900
Tokyo, Azabujuban (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-azabujuban-open-office;11900
Tokyo, Azabujuban (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-azabujuban-open-office;11900
Tokyo, Daikanyama;http://www.regus.co.jp/locations/office-space/tokyo-daikanyama;3300;16900
Tokyo, Ebisu;http://www.regus.co.jp/locations/office-space/tokyo-ebisu;3300;13900
Tokyo, Ebisu Minami;http://www.regus.co.jp/locations/office-space/tokyo-ebisu-minami;3300;13900
Tokyo, Ginza 1-Chome;http://www.regus.co.jp/locations/office-space/tokyo-ginza-1-chome;3300;7900
Tokyo, Ginza 3-Chome;http://www.regus.co.jp/locations/office-space/tokyo-ginza-3-chome;3300;7900
Tokyo, Harajuku;http://www.regus.co.jp/locations/office-space/tokyo-harajuku;3300;9900
Tokyo, Hiroo;http://www.regus.co.jp/locations/office-space/tokyo-hiroo;3300;13900
Tokyo, Ikebukuro Minami (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-ikebukuro-minami-open-office;13900
Tokyo, Jinbocho (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-jinbocho-open-office;9900
Tokyo, Kojimachi;http://www.regus.co.jp/locations/office-space/tokyo-kojimachi;3300;7900
Tokyo, Marunouchi Shin Kokusai Building;http://www.regus.co.jp/locations/office-space/tokyo-marunouchi-shin-kokusai-building;0
Tokyo, Marunouchi Tekko Building;http://www.regus.co.jp/locations/office-space/tokyo-marunouchi-tekko-building;3300;9900
Tokyo, Minami-Aoyama (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-minami-aoyama-open-office;11900
Tokyo, Minami-Aoyama (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-minami-aoyama-open-office;11900
Tokyo, Nakano Sunplaza;http://www.regus.co.jp/locations/office-space/tokyo-nakano-sunplaza;3300;9900
Tokyo, Nihonbashi Central (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nihonbashi-central-open-office;
Tokyo, Nihonbashi Central (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nihonbashi-central-open-office;
Tokyo, Nihonbashi Hakozaki (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nihonbashi-hakozaki-open-office;9900
Tokyo, Nishi Shinbashi (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nishi-shinbashi-open-office;7900
Tokyo, Nogizaka (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nogizaka-open-office;7900
Tokyo, Nogizaka (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-nogizaka-open-office;11900
Tokyo, Roppongi Ekimae;http://www.regus.co.jp/locations/office-space/tokyo-roppongi-ekimae;3300;13900
Tokyo, Shiba Daimon;http://www.regus.co.jp/locations/office-space/tokyo-shiba-daimon;7900
Tokyo, Shibuya Glass City;http://www.regus.co.jp/locations/office-space/tokyo-shibuya-glass-city;3300;16900
Tokyo, Shibuya Hills (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shibuya-hills-open-office;7900
Tokyo, Shibuya Hills (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shibuya-hills-open-office;7900
Tokyo, Shibuya Jinnan (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shibuya-jinnan-open-office;9900
Tokyo, Shibuya TOC (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shibuya-toc-open-office;11900
Tokyo, Shibuya TOC (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shibuya-toc-open-office;7900
Tokyo, Shinjuku Minamiguchi;http://www.regus.co.jp/locations/office-space/tokyo-shinjuku-minamiguchi;3300;11900
Tokyo, Shinjuku West (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shinjuku-west-open-office;
Tokyo, Shinjuku West (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-shinjuku-west-open-office;
Tokyo, Spaces Otemachi Building;http://www.regus.co.jp/locations/office-space/tokyo-spaces-otemachi-building;3300
Tokyo, Tameike-Sanno (Open Office);http://www.regus.co.jp/locations/office-space/tokyo-tameike-sanno-open-office;3300;7900
Tokyo, Yaesu Dori;http://www.regus.co.jp/locations/office-space/tokyo-yaesu-dori;3300;9900
Yokohama Landmark Tower;http://www.regus.co.jp/locations/office-space/yokohama-landmark-tower;3300
Yokohama Sky Building;http://www.regus.co.jp/locations/office-space/yokohama-sky-building;3300
Yokohama, Kannai;http://www.regus.co.jp/locations/office-space/yokohama-kannai;3300;7900
Yokohama, Wise Next Shin Yokohama;http://www.regus.co.jp/locations/office-space/yokohama-wise-next-shin-yokohama;3300;16900
Yokohama, Yokohamaeki Nishiguchi;http://www.regus.co.jp/locations/office-space/yokohama-yokohamaeki-nishiguchi;3300;9900
